,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
0,10681697,Oupeye,4680,Rue de la Wallonie ,2A,HOUSE,HOUSE,149000,FOR_SALE,4,137.0,No,Yes,No,Yes,25.0,No,,110,-27,2,No,GOOD
1,10679324,Oupeye,4680,Rue de la Wallonie ,2A,HOUSE,HOUSE,159000,FOR_SALE,3,87.0,No,Yes,No,Yes,64.0,Yes,106.0,145,58,2,No,JUST_RENOVATED
2,10679325,Oupeye,4680,Rue de la Wallonie ,2A,HOUSE,HOUSE,229000,FOR_SALE,3,145.0,No,Yes,No,Yes,136.0,No,,184,39,3,No,GOOD
3,10680063,Huy,4500,Avenue des Ardennes ,1/02,HOUSE,BUNGALOW,319000,FOR_SALE,2,104.0,No,No,,Yes,40.0,Yes,200.0,543,439,3,No,JUST_RENOVATED
4,10680254,Hotton,6990,Rue Simon ,46/2,HOUSE,VILLA,398000,FOR_SALE,3,170.0,No,Yes,No,Yes,,Yes,1193.0,1193,1023,4,No,GOOD
5,10679351,Zaventem,1930,Parklaan ,59/1,HOUSE,VILLA,430000,FOR_SALE,3,132.0,No,Yes,No,Yes,40.0,Yes,400.0,623,491,3,No,GOOD
6,10679090,Ronse ,9600,Stationstraat ,30,HOUSE,HOUSE,439000,FOR_SALE,2,161.0,No,Yes,No,Yes,25.0,Yes,420.0,680,519,4,No,AS_NEW
7,10678835,Dilbeek,1700,Astridlaan ,1,HOUSE,HOUSE,529000,FOR_SALE,4,315.0,No,No,No,Yes,,No,,8002,7687,3,No,TO_RENOVATE
8,10679053,Gent,9000,Sint-Denijslaan ,1,HOUSE,HOUSE,785000,FOR_SALE,4,266.0,No,Yes,No,Yes,33.0,Yes,93.0,262,-4,2,No,TO_RENOVATE
9,10675619,Ronse ,9600,Stationstraat ,30,HOUSE,HOUSE,135000,FOR_SALE,5,162.0,No,Yes,No,No,,No,,60,-102,2,No,GOOD
10,10677619,Seraing,4100,Place Merlot ,6,HOUSE,HOUSE,179000,FOR_SALE,3,137.0,No,Yes,No,Yes,16.0,Yes,43.0,145,8,2,No,GOOD
11,10673624,Braine-le-chateau,1440,,122,HOUSE,VILLA,529000,FOR_SALE,3,165.0,No,Yes,No,Yes,20.0,Yes,800.0,1200,1035,4,No,TO_BE_DONE_UP
12,10673197,Auderghem,1160,Place Communale ,8,HOUSE,TOWN_HOUSE,749000,FOR_SALE,5,205.0,No,Yes,No,Yes,14.0,Yes,152.0,220,15,2,No,TO_BE_DONE_UP
13,10673001,,,No info,No info,HOUSE,VILLA,755000,FOR_SALE,5,241.0,No,No,No,Yes,33.0,Yes,300.0,500,259,4,No,GOOD
14,10682327,Waterloo,1410,Chaussée de Tervuren ,186,HOUSE,VILLA,695000,FOR_SALE,5,252.0,No,Yes,Yes,Yes,40.0,Yes,450.0,786,534,4,No,TO_BE_DONE_UP
15,10671514,Ronse ,9600,Stationstraat ,30,HOUSE,MIXED_USE_BUILDING,295000,FOR_SALE,5,339.0,No,Yes,No,No,,No,,160,-179,2,No,TO_BE_DONE_UP
16,10671574,Berchem ,2600,Koninlijkelaan ,42,HOUSE,HOUSE,910000,FOR_SALE,5,310.0,No,No,No,Yes,18.0,Yes,131.0,242,-68,2,No,GOOD
17,10679750,Berchem-Sainte-Agathe,1082,Avenue Charles Quint ,515,HOUSE,HOUSE,329000,FOR_SALE,3,135.0,No,Yes,No,Yes,17.0,No,,93,-42,2,No,GOOD
18,10679768,Ronse,9600,Grote Markt ,35,HOUSE,HOUSE,359999,FOR_SALE,3,177.0,No,No,,Yes,,No,,455,278,3,No,GOOD
19,10680041,Waterloo,1410,Chaussée de Tervuren ,186,HOUSE,VILLA,380000,FOR_SALE,3,140.0,No,Yes,No,Yes,,Yes,,1050,910,4,No,TO_RENOVATE
20,10678894,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",95,HOUSE,HOUSE,595000,FOR_SALE,4,175.0,No,Yes,No,Yes,,Yes,30.0,1,-174,2,No,AS_NEW
21,10680513,Wetteren,9230,Zuidlaan ,72,HOUSE,EXCEPTIONAL_PROPERTY,690000,FOR_SALE,7,405.0,No,Yes,,No,,Yes,4534.0,4534,4129,4,No,TO_BE_DONE_UP
22,10678805,Ixelles,1050,Avenue Louise ,231,HOUSE,MIXED_USE_BUILDING,795000,FOR_SALE,6,300.0,No,Yes,No,No,,Yes,20.0,250,-50,2,No,GOOD
23,10668977,Seraing,4100,Place Merlot ,6,HOUSE,HOUSE,149000,FOR_SALE,2,105.0,No,Yes,No,Yes,,Yes,25.0,105,0,2,No,GOOD
24,10669506,Auderghem,1160,Place Communale ,8,HOUSE,HOUSE,399000,FOR_SALE,4,170.0,No,Yes,No,Yes,10.0,Yes,140.0,210,40,2,No,TO_BE_DONE_UP
25,10669505,Rixensart,1330,Avenue Fond Jean Rosy ,17A,HOUSE,VILLA,435000,FOR_SALE,4,185.0,No,Yes,No,Yes,30.0,Yes,526.0,748,563,4,No,GOOD
26,10669507,Auderghem,1160,Place Communale ,8,HOUSE,EXCEPTIONAL_PROPERTY,960000,FOR_SALE,6,400.0,No,Yes,No,Yes,40.0,Yes,290.0,1090,690,3,No,AS_NEW
27,10678123,Belgrade,5001,Joseph Durieux ,151,HOUSE,HOUSE,210000,FOR_SALE,2,83.0,No,No,,No,,Yes,85.0,166,83,3,No,TO_BE_DONE_UP
28,10677390,Liège,4000,Rue Charles Magnette ,24/40,HOUSE,HOUSE,235000,FOR_SALE,3,166.0,No,No,Yes,No,,No,,1050,884,4,No,TO_BE_DONE_UP
29,10677787,Andenne,5300,Place des Tilleuls ,3,HOUSE,MIXED_USE_BUILDING,245000,FOR_SALE,4,240.0,No,No,,Yes,40.0,No,,214,-26,2,No,TO_BE_DONE_UP
30,10535823,Ottignies (Limelette),1342,Av. Albert ,1er,APARTMENT,GROUND_FLOOR,395000,FOR_SALE,3,113.0,No info,No,,Yes,14.0,No,,No info,No info,,No,
31,10682415,Bastogne,6600,Place McAuliffe ,43,HOUSE,VILLA,585000,FOR_SALE,4,,No,No,,No,,Yes,1379.0,0,No info,4,No,
32,10682412,Woluwe-Saint-Lambert,1200,Avenue de Woluwe-Saint-Lambert ,35,HOUSE,APARTMENT_BLOCK,750000,FOR_SALE,3,180.0,No info,No,,No,,No,,0,-180,no info,No,No info
33,10682411,Woluwe-Saint-Lambert,1200,Avenue de Woluwe-Saint-Lambert ,35,HOUSE,HOUSE,455000,FOR_SALE,5,180.0,No,No,,No,,No,,0,-180,2,No,TO_BE_DONE_UP
34,10682405,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
35,10682403,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,720000,FOR_SALE,7,365.0,No info,No,,No,,No,,0,-365,,No,TO_BE_DONE_UP
36,10682401,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
